sample_index,clean_signal,noisy_signal,filtered_signal
7194,1416.0,1573.0,1439.083345223266
7195,1487.0,1595.0,1451.769077847022
7196,1566.0,1870.0,1724.8358051556668
7197,1653.0,1511.0,1640.444329428335
7198,1746.0,1990.0,1787.0621516404974
7199,1844.0,1810.0,1963.4317461208573
7200,1945.0,1962.0,1796.1442595719059
7201,2047.0,2352.0,2112.8100472036276
7202,2150.0,2210.0,2129.328054112821
7203,2251.0,3067.0,2821.146918818375
7204,2349.0,2825.0,2774.08954821482
7205,2442.0,4095.0,3871.447304388619
7206,2529.0,2691.0,3099.6718197770983
7207,2608.0,2592.0,2512.804805687945
7208,2679.0,3315.0,2735.2239301798168
7209,2739.0,2711.0,2841.60774329966
7210,2789.0,2316.0,2523.544557020298
7211,2826.0,2742.0,2385.7513851098647
7212,2852.0,3176.0,3005.0859847244874
7213,2865.0,2797.0,3064.603538823707
7214,2865.0,3059.0,3126.891269538547
7215,2852.0,2417.0,2658.7900533415345
7216,2826.0,2239.0,2337.968841424221
7217,2789.0,2803.0,2574.663013246398
7218,2739.0,2409.0,2618.383972343994
7219,2679.0,3758.0,3376.0264953771293
7220,2608.0,2868.0,3257.5026681671734
7221,2529.0,2271.0,2696.27830569272
7222,2442.0,2037.0,2072.817464335772
7223,2349.0,2281.0,2173.5934192723444
7224,2251.0,2261.0,2313.870753666503
7225,2150.0,1496.0,1922.3315517848405
7226,2048.0,2505.0,2127.240200389801
7227,1945.0,2143.0,2345.847419302921
7228,1844.0,2017.0,2425.9557321949887
7229,1746.0,1283.0,1730.4510588991861
7230,1653.0,0.0,698.4438856072065
7231,1566.0,1146.0,857.7189920299359
7232,1487.0,1054.0,1245.5714032422602
7233,1416.0,1563.0,1653.1531026556713
7234,1356.0,883.0,1307.004496172155
7235,1306.0,1250.0,1294.1074172125082
7236,1269.0,1187.0,1330.0832202941322
7237,1243.0,1255.0,1356.1957282785015
7238,1230.0,3817.0,3173.223318197416
7239,1230.0,489.0,1197.1607232125812
7240,1243.0,1715.0,1198.2386635681864
7241,1269.0,1587.0,1230.7437044575856
7242,1306.0,1517.0,1633.3633312120148
7243,1356.0,1407.0,1411.8933089852699
7244,1416.0,1687.0,1476.0031749713482
7245,1487.0,1235.0,1404.5567538597822
7246,1566.0,1331.0,1274.2504692027956
7247,1653.0,1702.0,1805.5422028762857
7248,1746.0,2246.0,1926.2388532541643
7249,1844.0,2222.0,2263.8622977436266
7250,1945.0,1767.0,1952.932634134028
7251,2047.0,1893.0,1767.8129799146936
7252,2150.0,2530.0,2227.5939300516898
7253,2251.0,2588.0,2495.102037485622
7254,2349.0,2366.0,2352.076319342858
7255,2442.0,2260.0,2185.806245503723
7256,2529.0,2390.0,2195.6355077929366
7257,2608.0,2565.0,2509.9594547078163
7258,2679.0,3026.0,2756.4452326545256
7259,2739.0,2569.0,2642.5346343451515
7260,2789.0,2120.0,2261.355491134283
7261,2826.0,3399.0,3355.8670580635217
7262,2852.0,2347.0,2659.1840291111744
7263,2865.0,2935.0,2698.0781287021496
7264,2865.0,1501.0,2050.0914325827475
7265,2852.0,2469.0,2026.7406694988588
7266,2826.0,2667.0,2537.1068665177563
7267,2789.0,2874.0,2947.192923104363
7268,2739.0,2835.0,2884.2981012249793
7269,2679.0,3058.0,2840.4091335544886
7270,2608.0,2315.0,2762.3565451285776
7271,2529.0,1255.0,1746.4358275341303
7272,2442.0,2593.0,2339.0411710791404
7273,2349.0,1387.0,1854.6227026748606
7274,2251.0,2335.0,2187.2802553642337
7275,2150.0,1594.0,1989.0660775136078
7276,2048.0,1896.0,1980.3037606010237
7277,1945.0,2227.0,2186.3944503574407
7278,1844.0,3377.0,2957.4139014129014
7279,1746.0,1660.0,2543.5948529438097
7280,1653.0,1499.0,1479.4915690512616
7281,1566.0,1417.0,1366.726083947329
7282,1487.0,1666.0,1497.5818656325957
7283,1416.0,3763.0,3067.0481158967305
7284,1356.0,1331.0,1880.7522802780868
7285,1306.0,2144.0,1859.8503293129745
7286,1269.0,1658.0,1697.8727562801487
7287,1243.0,1065.0,1636.7940825279957
7288,1230.0,1447.0,1279.9891018033256
7289,1230.0,1455.0,1405.8836873830428
7290,1243.0,1669.0,1661.5726245135004
7291,1269.0,1342.0,1548.5589281078842
7292,1306.0,898.0,1457.2463682955554
7293,1356.0,1531.0,1211.3601174338685
7294,1416.0,654.0,1195.729732996947
7295,1487.0,933.0,939.4302259242355
7296,1566.0,1264.0,1043.1229637047186
7297,1653.0,1744.0,1655.8142745741236
7298,1746.0,2091.0,1990.578842962292
7299,1844.0,1869.0,1943.8602507309884
7300,1945.0,1877.0,1791.603070801166
7301,2047.0,1982.0,1728.8100809775708
7302,2150.0,1790.0,1808.9384737943135
7303,2251.0,1671.0,1544.7615023533183
